5.1
ID_publikacji	Tytul	Cena	Rodzaj
e779	Programowanie Microsoft SQL Server 2008 Tom 1 i 2. Pakiet	132,99	e
e703	Zaawansowany Python. Jasne, zwiezle i efektywne programowanie	132,99	e
e1366	Programowanie Microsoft SQL Server 2012.	132,99	e
e1195	Zapytania w jezyku T-SQL. w Microsoft SQL Server 2014 i SQL Server 2012	132,99	e
a382	Trening mentalny sportowca kurs	66,99	a
a1609	Ekspresowy kurs dla poczatkujacych. Angielski.	47,99	a
a1255	Ekspresowy kurs dla poczatkujacych. Hiszpanski.	47,99	a
a1387	Ekspresowy kurs dla srednio zaawansowanych. Hiszpanski.	47,99	a
a1384	Ekspresowy kurs dla poczatkujacych. Wloski.	47,99	a
a1099	Ekspresowy kurs dla srednio zaawansowanych. Angielski.	47,99	a
a514	Ekspresowy kurs dla poczatkujacych. Francuski.	47,99	a
a1949	Ekspresowy kurs dla poczatkujacych. Niemiecki.	47,99	a
a657	Medytacja Kolorami.	45,99	a

5.2
Autor	Tytul	Rok wydania	Dziedzina
Rafal Janus	Excel w praktyce, 8/14	2014	informatyka
Drea Zigarmi, Ken Blanchard, Patricia Zigarmi	Jednominutowy menedzer i przywodztwo.	2014	ekonomia
Brian Tracy	Zarzadzanie czasem.	2014	ekonomia

5.3
